Ano,Unidade_Geografica,Dependencia_Administrativa,Grupo_de_Abandono,Taxa_Abandono,Renda_Media,,prEm,,,,prEf,,,
2015,Nordeste,Privada,Ensino Fundamental,"0,47",1988,,,,,,,,,
2015,Sudeste,Privada,Ensino Fundamental,"0,17",3303,,,,,,,,,
2015,Sul,Privada,Ensino Fundamental,"0,13",3133,,,,,,,,,
2015,Centro-Oeste,Privada,Ensino Fundamental,"0,27",3227,,,,,,,,,
2016,Norte,Privada,Ensino Fundamental,"0,77",2085,,,,,,,,,
2016,Nordeste,Privada,Ensino Fundamental,"0,47",1963,,,,,,,,,
2016,Sudeste,Privada,Ensino Fundamental,"0,13",3366,,,,,,,,,
2016,Sul,Privada,Ensino Fundamental,"0,10",3109,,,,,,,,,
2016,Centro-Oeste,Privada,Ensino Fundamental,"0,17",3152,,,,,,,,,
2017,Norte,Privada,Ensino Fundamental,"0,50",2147,,,,,,,,,
2017,Nordeste,Privada,Ensino Fundamental,"0,30",2018,,,,,,,,,
2017,Sudeste,Privada,Ensino Fundamental,"0,20",3261,,,,,,,,,
2017,Sul,Privada,Ensino Fundamental,"0,03",3158,,,,,,,,,
2017,Centro-Oeste,Privada,Ensino Fundamental,"0,07",3239,,,,,,,,,
2018,Norte,Privada,Ensino Fundamental,"0,30",2264,,,,,,,,,
2018,Nordeste,Privada,Ensino Fundamental,"0,40",1983,,,,,,,,,
2018,Sudeste,Privada,Ensino Fundamental,"0,13",3377,,,,,,,,,
2018,Sul,Privada,Ensino Fundamental,"0,07",3185,,,,,,,,,
2018,Centro-Oeste,Privada,Ensino Fundamental,"0,07",3254,,,,,,,,,
2019,Norte,Privada,Ensino Fundamental,"0,40",2117,,,,,,,,,
2019,Nordeste,Privada,Ensino Fundamental,"0,23",2024,,,,,,,,,
2019,Sudeste,Privada,Ensino Fundamental,"0,10",3356,,,,,,,,,
2019,Sul,Privada,Ensino Fundamental,"0,04",3238,,,,,,,,,
2019,Centro-Oeste,Privada,Ensino Fundamental,"0,07",3169,,,,,,,,,
2020,Norte,Privada,Ensino Fundamental,"2,23",2211,,,,,,,,,
2020,Nordeste,Privada,Ensino Fundamental,"4,10",2178,,,,,,,,,
2020,Sudeste,Privada,Ensino Fundamental,"0,77",3451,,,,,,,,,
2020,Sul,Privada,Ensino Fundamental,"0,17",3247,,,,,,,,,
2020,Centro-Oeste,Privada,Ensino Fundamental,"0,50",3271,,,,,,,,,
2021,Norte,Privada,Ensino Fundamental,"0,30",2104,,,,,,,,,
2021,Nordeste,Privada,Ensino Fundamental,"0,60",1960,,,,,,,,,
2021,Sudeste,Privada,Ensino Fundamental,"0,10",3261,,,,,,,,,
2021,Sul,Privada,Ensino Fundamental,"0,13",3065,,,,,,,,,
2021,Centro-Oeste,Privada,Ensino Fundamental,"0,07",3108,,,,,,,,,
2022,Norte,Privada,Ensino Fundamental,"0,30",2173,,,,,,,,,
2022,Nordeste,Privada,Ensino Fundamental,"0,30",1889,,,,,,,,,
2022,Sudeste,Privada,Ensino Fundamental,"0,03",3147,,,,,,,,,
2022,Sul,Privada,Ensino Fundamental,"0,03",3083,,,,,,,,,
2022,Centro-Oeste,Privada,Ensino Fundamental,"0,07",3162,,,,,,,,,
2023,Norte,Privada,Ensino Fundamental,"0,33",2416,,,,,,,,,
2023,Nordeste,Privada,Ensino Fundamental,"0,23",1991,,,,,,,,,
2023,Sudeste,Privada,Ensino Fundamental,"0,03",3389,,,,,,,,,
2023,Sul,Privada,Ensino Fundamental,"0,04",3225,,,,,,,,,
2023,Centro-Oeste,Privada,Ensino Fundamental,"0,08",3418,,,,,,,,,
